episode_timestep,episode_reward,episode_length,loss_timestep,actor_loss,critic_loss
20,0.0,20.0,102,-2.6617860794067383,6.225871562957764
40,0.0,20.0,103,-2.6627418994903564,6.303840637207031
60,0.0,20.0,104,-2.7494354248046875,6.266660690307617
80,0.0,20.0,105,-2.8003792762756348,5.793891906738281
100,0.0,20.0,106,-2.8583927154541016,6.003659248352051
119,0.0,19.0,107,-2.852269172668457,5.673335075378418
139,0.0,20.0,108,-2.9780843257904053,5.523805141448975
159,0.0,20.0,109,-3.028323173522949,5.089054584503174
179,0.0,20.0,110,-3.0773465633392334,5.328476905822754
199,0.0,20.0,111,-3.0958492755889893,4.981070518493652
218,0.0,19.0,112,-3.162637233734131,4.855525970458984
238,0.0,20.0,113,-3.180755138397217,4.764395713806152
258,0.0,20.0,114,-3.236894130706787,4.515578269958496
277,0.0,19.0,115,-3.2909960746765137,4.239830017089844
297,0.0,20.0,116,-3.3856194019317627,4.125287055969238
317,0.0,20.0,117,-3.4030771255493164,4.008121013641357
338,0.0,21.0,118,-3.4485762119293213,3.681098222732544
357,0.0,19.0,119,-3.5172109603881836,3.4428930282592773
376,0.0,19.0,120,-3.55586576461792,3.3318450450897217
396,0.0,20.0,121,-3.5975680351257324,3.21042537689209
416,0.0,20.0,122,-3.673229694366455,2.9647023677825928
436,0.0,20.0,123,-3.7313756942749023,2.828766345977783
456,0.0,20.0,124,-3.7988741397857666,2.5380911827087402
475,0.0,19.0,125,-3.878535270690918,2.3699452877044678
495,0.0,20.0,126,-3.943115711212158,2.2530505657196045
515,0.0,20.0,127,-3.9815573692321777,2.0523948669433594
534,0.0,19.0,128,-4.050127983093262,1.9329792261123657
554,0.0,20.0,129,-4.1569976806640625,1.7124364376068115
574,0.0,20.0,130,-4.2283935546875,1.6825913190841675
593,0.0,19.0,131,-4.30989933013916,1.3929734230041504
612,0.0,19.0,132,-4.368288993835449,1.1670374870300293
632,0.0,20.0,133,-4.455828666687012,1.0259816646575928
652,0.0,20.0,134,-4.522650241851807,0.9412662982940674
672,0.0,20.0,135,-4.641193389892578,0.8065226078033447
691,0.0,19.0,136,-4.721181869506836,0.7527240514755249
711,0.0,20.0,137,-4.80086612701416,0.6777945160865784
730,0.0,19.0,138,-4.877259731292725,0.5279026627540588
749,0.0,19.0,139,-4.957136154174805,0.5259006023406982
769,0.0,20.0,140,-5.048172950744629,0.40534836053848267
789,0.0,20.0,141,-5.1039838790893555,0.46608173847198486
809,0.0,20.0,142,-5.185701370239258,0.4118184447288513
829,0.0,20.0,143,-5.304381847381592,0.14727157354354858
848,0.0,19.0,144,-5.319423675537109,0.569045901298523
868,0.0,20.0,145,-5.380559921264648,0.5872653722763062
888,0.0,20.0,146,-5.408601760864258,0.4768983721733093
907,0.0,19.0,147,-5.498398303985596,0.4993200898170471
927,0.0,20.0,148,-5.523518085479736,0.2856367230415344
947,0.0,20.0,149,-5.567167282104492,0.4076384902000427
967,0.0,20.0,150,-5.571648597717285,0.401083767414093
987,0.0,20.0,151,-5.601344585418701,0.2974821925163269
1007,0.0,20.0,152,-5.620532512664795,0.5207505822181702
1027,0.0,20.0,153,-5.61338996887207,0.6640133857727051
1047,0.0,20.0,154,-5.595157146453857,0.6334173679351807
1067,0.0,20.0,155,-5.592360496520996,0.32205572724342346
1086,0.0,19.0,156,-5.558585166931152,0.48709866404533386
1106,0.0,20.0,157,-5.577957630157471,0.4458438754081726
1126,0.0,20.0,158,-5.543770790100098,0.5336815118789673
1146,0.0,20.0,159,-5.562308311462402,0.34331774711608887
1165,0.0,19.0,160,-5.5272979736328125,0.3793383240699768
1185,0.0,20.0,161,-5.499101638793945,0.45659345388412476
1205,0.0,20.0,162,-5.448971748352051,0.5089691877365112
1225,0.0,20.0,163,-5.435990810394287,0.4822345972061157
1245,0.0,20.0,164,-5.422207832336426,0.3260689973831177
1265,0.0,20.0,165,-5.402421474456787,0.5486569404602051
1285,0.0,20.0,166,-5.367334365844727,0.47162652015686035
1305,0.0,20.0,167,-5.361910820007324,0.5489468574523926
1325,0.0,20.0,168,-5.367403984069824,0.48161154985427856
