episode_timestep,episode_reward,episode_length,loss_timestep,actor_loss,critic_loss
19,0.0,19.0,102,-2.670233726501465,6.475306510925293
39,0.0,20.0,103,-2.6714634895324707,6.299189567565918
59,0.0,20.0,104,-2.7561087608337402,6.0532379150390625
79,0.0,20.0,105,-2.8026328086853027,5.996705055236816
98,0.0,19.0,106,-2.8594326972961426,5.761035919189453
118,0.0,20.0,107,-2.8565168380737305,5.721529960632324
138,0.0,20.0,108,-2.9721531867980957,5.42393684387207
158,0.0,20.0,109,-3.0328030586242676,5.358968734741211
178,0.0,20.0,110,-3.085301160812378,5.160006523132324
198,0.0,20.0,111,-3.098970651626587,4.778883934020996
217,0.0,19.0,112,-3.1671690940856934,4.762816429138184
236,0.0,19.0,113,-3.184891939163208,4.674502372741699
256,0.0,20.0,114,-3.2369651794433594,4.45780611038208
275,0.0,19.0,115,-3.2866873741149902,4.249917984008789
294,0.0,19.0,116,-3.378574848175049,4.080874443054199
314,0.0,20.0,117,-3.395397186279297,3.950070858001709
334,0.0,20.0,118,-3.451775074005127,3.726372718811035
354,0.0,20.0,119,-3.5154457092285156,3.4856181144714355
374,0.0,20.0,120,-3.55897855758667,3.275508165359497
393,0.0,19.0,121,-3.5938878059387207,3.201746940612793
412,0.0,19.0,122,-3.6669321060180664,2.888890266418457
432,0.0,20.0,123,-3.7210817337036133,2.8039097785949707
452,0.0,20.0,124,-3.784191131591797,2.5306124687194824
472,0.0,20.0,125,-3.8815293312072754,2.431391477584839
492,0.0,20.0,126,-3.9320943355560303,2.2678592205047607
511,0.0,19.0,127,-3.9769256114959717,2.0679712295532227
530,0.0,19.0,128,-4.048425674438477,1.9181509017944336
550,0.0,20.0,129,-4.147282600402832,1.7317391633987427
570,0.0,20.0,130,-4.2103705406188965,1.7476270198822021
589,0.0,19.0,131,-4.3049235343933105,1.407673716545105
608,0.0,19.0,132,-4.354545593261719,1.2458021640777588
627,0.0,19.0,133,-4.451573848724365,1.031341314315796
647,0.0,20.0,134,-4.523095607757568,1.0179529190063477
667,0.0,20.0,135,-4.613917827606201,0.9402981996536255
687,0.0,20.0,136,-4.697076797485352,0.7658416032791138
707,0.0,20.0,137,-4.778454780578613,0.6868547201156616
726,0.0,19.0,138,-4.842476844787598,0.70212322473526
746,0.0,20.0,139,-4.937524795532227,0.600861132144928
766,0.0,20.0,140,-5.02861213684082,0.5193613767623901
785,0.0,19.0,141,-5.091436386108398,0.5627485513687134
805,0.0,20.0,142,-5.166158676147461,0.4658656418323517
825,0.0,20.0,143,-5.2630486488342285,0.38127750158309937
845,0.0,20.0,144,-5.285923004150391,0.4224378168582916
865,0.0,20.0,145,-5.369489669799805,0.4280947148799896
885,0.0,20.0,146,-5.410921096801758,0.6748040914535522
